,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
227,4961,4961,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4961_S90_L001-4_R1_001.fastq.gz,1,SB0142,4961,6,Monaghan-3
228,4973,4973,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/4973_S49_L001-4_R2_001.fastq.gz,1,SB0142,4973,6,Monaghan-3
229,5-10284,5-10284,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/5-10284_S52_L001-4_R2_001.fastq.gz,1,SB0054,5-10284,5,Wicklow-1
230,50-MBovis,50-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/50-MBovis_S23_L001-4_R1_001.fastq.gz,1,SB0054,50-MBovis,5,Wicklow-1
231,51-3292,51-3292,Wicklow,Badger,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/51-3292_S37_L001-4_R1_001.fastq.gz,1,SB0054,51-3292,5,Wicklow-1
232,51-MBovis,51-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/51-MBovis_S46_L001-4_R1_001.fastq.gz,1,SB0054,51-MBovis,5,Wicklow-1
233,5158,5158,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/5158_S28_L001-4_R2_001.fastq.gz,1,SB0142,5158,6,Monaghan-3
234,52-3698,52-3698,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/52-3698_S46_L001-4_R1_001.fastq.gz,1,SB0054,52-3698,5,Wicklow-1
235,5220,5220,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/5220_S44_L001-4_R1_001.fastq.gz,1,SB0140,5220,3,Monaghan-2
236,529,529,Monaghan,,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/529_S39_L001-4_R1_001.fastq.gz,1,SB0140,529,2,
237,54-MBovis,54-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/54-MBovis_S24_L001-4_R2_001.fastq.gz,1,SB0054,54-MBovis,5,Wicklow-1
238,548,548,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/548_S25_L001-4_R2_001.fastq.gz,1,SB0140,548,4,Monaghan-1
239,55-4348,55-4348,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/55-4348_S28_L001-4_R1_001.fastq.gz,1,SB0054,55-4348,5,Wicklow-1
240,5572,5572,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_24-09-19/5572_S18_L001-4_R2_001.fastq.gz,1,SB0140,5572,3,Monaghan-2
241,56-MBovis,56-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/56-MBovis_S13_L001-4_R2_001.fastq.gz,1,SB0054,56-MBovis,5,Wicklow-1
242,59-6110,59-6110,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/59-6110_S65_L001-4_R1_001.fastq.gz,1,SB0054,59-6110,5,Wicklow-1
243,59-MBovis,59-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/59-MBovis_S33_L001-4_R2_001.fastq.gz,1,SB0054,59-MBovis,5,Wicklow-1
244,7-10423,7-10423,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/7-10423_S73_L001-4_R2_001.fastq.gz,1,SB0054,7-10423,5,Wicklow-1
245,717,717,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/717_S28_L001-4_R1_001.fastq.gz,1,SB0142,717,6,Monaghan-3
246,724p,724p,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/724p_S44_L001-4_R1_001.fastq.gz,1,SB0140,724p,3,Monaghan-2
